state_code,district_code,district_name,area_type,age_group,total_population,total_males,total_females,illiterate_population,illiterate_males,illiterate_females,literate_population,literate_males,literate_females
13,263,zunheboto,Rural,20-24,10957,5220,5737,954,451,503,10003,4769,5234
13,263,zunheboto,Rural,25-29,9278,4476,4802,967,411,556,8311,4065,4246
13,263,zunheboto,Rural,30-34,8209,3936,4273,1068,461,607,7141,3475,3666
13,263,zunheboto,Rural,35-39,6768,3286,3482,997,393,604,5771,2893,2878
13,263,zunheboto,Rural,40-44,6044,3010,3034,1196,462,734,4848,2548,2300
13,263,zunheboto,Rural,45-49,4722,2380,2342,1115,395,720,3607,1985,1622
13,263,zunheboto,Rural,50-54,4069,1986,2083,1255,411,844,2814,1575,1239
13,263,zunheboto,Rural,55-59,2715,1365,1350,1012,356,656,1703,1009,694
13,263,zunheboto,Rural,60-64,2674,1301,1373,1180,384,796,1494,917,577
13,263,zunheboto,Rural,65-69,1929,986,943,934,317,617,995,669,326
13,263,zunheboto,Rural,70-74,1453,746,707,867,312,555,586,434,152
13,263,zunheboto,Rural,75-79,771,468,303,469,222,247,302,246,56
13,263,zunheboto,Rural,80+,855,499,356,574,282,292,281,217,64
13,263,zunheboto,Rural,Age not stated,43,30,13,11,8,3,32,22,10
13,263,zunheboto,Urban,All ages,27597,14431,13166,4865,2304,2561,22732,12127,10605
13,263,zunheboto,Urban,0-6,3541,1734,1807,3541,1734,1807,0,0,0
13,263,zunheboto,Urban,7,671,317,354,131,57,74,540,260,280
13,263,zunheboto,Urban,8,676,341,335,52,30,22,624,311,313
13,263,zunheboto,Urban,9,668,326,342,48,18,30,620,308,312
13,263,zunheboto,Urban,10,793,388,405,60,34,26,733,354,379
13,263,zunheboto,Urban,11,791,380,411,23,13,10,768,367,401
13,263,zunheboto,Urban,12,766,382,384,26,10,16,740,372,368
13,263,zunheboto,Urban,13,788,387,401,28,12,16,760,375,385
13,263,zunheboto,Urban,14,789,412,377,27,13,14,762,399,363
13,263,zunheboto,Urban,15,810,365,445,22,8,14,788,357,431
13,263,zunheboto,Urban,16,780,361,419,32,15,17,748,346,402
13,263,zunheboto,Urban,17,684,342,342,23,19,4,661,323,338
13,263,zunheboto,Urban,18,687,351,336,36,13,23,651,338,313
13,263,zunheboto,Urban,19,650,326,324,18,6,12,632,320,312
13,263,zunheboto,Urban,20-24,3049,1595,1454,116,67,49,2933,1528,1405
13,263,zunheboto,Urban,25-29,2658,1447,1211,92,41,51,2566,1406,1160
13,263,zunheboto,Urban,30-34,2036,1063,973,80,41,39,1956,1022,934
13,263,zunheboto,Urban,35-39,1740,941,799,74,30,44,1666,911,755
13,263,zunheboto,Urban,40-44,1522,902,620,61,22,39,1461,880,581
13,263,zunheboto,Urban,45-49,1226,698,528,66,23,43,1160,675,485
13,263,zunheboto,Urban,50-54,809,484,325,74,17,57,735,467,268
13,263,zunheboto,Urban,55-59,463,278,185,38,11,27,425,267,158
13,263,zunheboto,Urban,60-64,385,240,145,53,19,34,332,221,111
13,263,zunheboto,Urban,65-69,269,167,102,48,17,31,221,150,71
13,263,zunheboto,Urban,70-74,164,95,69,37,12,25,127,83,44
13,263,zunheboto,Urban,75-79,82,53,29,27,12,15,55,41,14
13,263,zunheboto,Urban,80+,92,52,40,31,9,22,61,43,18
13,263,zunheboto,Urban,Age not stated,8,4,4,1,1,0,7,3,4
13,264,wokha,Total,All ages,166343,84505,81838,38135,17120,21015,128208,67385,60823
13,264,wokha,Total,0-6,20138,10298,9840,20138,10298,9840,0,0,0
13,264,wokha,Total,7,3342,1703,1639,1051,535,516,2291,1168,1123
